,PWVmidTim,Tdelay
180,20110105/1945,2133.2
181,20110105/2015,2132.8
182,20110105/2045,2133.3
183,20110105/2115,2135.5
184,20110105/2145,2133.1
185,20110105/2215,2132.7
186,20110105/2245,2133.2
187,20110105/2315,2128.7
141,20110106/0015,2129.6
142,20110106/0045,2134.4
143,20110106/0115,2134.4
144,20110106/0145,2132.1
145,20110106/0215,2130.6
146,20110106/0245,2132.0
147,20110106/0315,2132.2
148,20110106/0345,2132.9
149,20110106/0415,2133.1
150,20110106/0445,2131.1
151,20110106/0515,2129.2
152,20110106/0545,2129.0
153,20110106/0615,2129.9
154,20110106/0645,2129.0
155,20110106/0715,2129.9
156,20110106/0745,2134.1
157,20110106/0815,2134.8
158,20110106/0845,2133.5
159,20110106/0915,2130.5
160,20110106/0945,2127.5
161,20110106/1015,2129.7
162,20110106/1045,2135.1
163,20110106/1115,2136.5
164,20110106/1145,2133.0
165,20110106/1215,2133.5
166,20110106/1245,2136.1
167,20110106/1315,2134.8
168,20110106/1345,2133.9
169,20110106/1415,2136.9
170,20110106/1445,2135.7
171,20110106/1515,2136.5
172,20110106/1545,2135.8
173,20110106/1615,2132.1
174,20110106/1645,2133.7
175,20110106/1715,2134.3
176,20110106/1745,2134.8
177,20110106/1815,2138.6
178,20110106/1845,2136.4
179,20110106/1915,2133.4
180,20110106/1945,2136.3
181,20110106/2015,2135.7
182,20110106/2045,2136.8
183,20110106/2115,2139.8
184,20110106/2145,2142.0
185,20110106/2215,2139.7
186,20110106/2245,2139.5
187,20110106/2315,2137.6
141,20110109/0015,2105.2
142,20110109/0045,2106.8
143,20110109/0115,2106.7
144,20110109/0145,2107.0
145,20110109/0215,2109.9
146,20110109/0245,2110.7
147,20110109/0315,2108.1
148,20110109/0345,2111.7
149,20110109/0415,2114.1
150,20110109/0445,2114.3
151,20110109/0515,2117.2
152,20110109/0545,2119.3
153,20110109/0615,2119.4
154,20110109/0645,2124.4
155,20110109/0715,2123.6
156,20110109/0745,2120.2
157,20110109/0815,2123.8
158,20110109/0845,2127.1
159,20110109/0915,2131.6
160,20110109/0945,2131.9
161,20110109/1015,2127.8
162,20110109/1045,2132.1
163,20110109/1115,2137.6
164,20110109/1145,2133.7
165,20110109/1215,2135.2
166,20110109/1245,2143.4
167,20110109/1315,2138.6
168,20110109/1345,2142.4
169,20110109/1415,2149.3
170,20110109/1445,2145.6
171,20110109/1515,2148.4
172,20110109/1545,2152.0
173,20110109/1615,2155.2
174,20110109/1645,2156.3
175,20110109/1715,2157.5
176,20110109/1745,2156.8
177,20110109/1815,2155.3
178,20110109/1845,2157.2
179,20110109/1915,2158.1
180,20110109/1945,2156.4
181,20110109/2015,2155.9
182,20110109/2045,2157.6
183,20110109/2115,2157.0
184,20110109/2145,2157.5
185,20110109/2215,2154.7
186,20110109/2245,2154.5
187,20110109/2315,2154.2
141,20110110/0015,2158.7
142,20110110/0045,2159.5
143,20110110/0115,2158.2
144,20110110/0145,2156.7
145,20110110/0215,2158.2
146,20110110/0245,2159.4
147,20110110/0315,2157.5
148,20110110/0345,2156.3
149,20110110/0415,2157.9
150,20110110/0445,2158.7
151,20110110/0515,2158.5
152,20110110/0545,2156.1
153,20110110/0615,2154.0
154,20110110/0645,2157.5
155,20110110/0715,2158.4
156,20110110/0745,2156.0
157,20110110/0815,2153.5
158,20110110/0845,2149.1
159,20110110/0915,2144.8
160,20110110/0945,2147.1
161,20110110/1015,2153.1
162,20110110/1045,2153.3
163,20110110/1115,2156.7
164,20110110/1145,2154.5
165,20110110/1215,2150.5
166,20110110/1245,2155.7
167,20110110/1315,2153.0
168,20110110/1345,2149.4
169,20110110/1415,2151.9
170,20110110/1445,2146.7
171,20110110/1515,2142.7
172,20110110/1545,2143.6
173,20110110/1615,2147.0
174,20110110/1645,2157.0
175,20110110/1715,2157.9
176,20110110/1745,2150.2
177,20110110/1815,2141.9
178,20110110/1845,2141.6
179,20110110/1915,2140.3
180,20110110/1945,2135.9
181,20110110/2015,2138.2
182,20110110/2045,2136.8
183,20110110/2115,2134.9
184,20110110/2145,2133.7
185,20110110/2215,2129.7
186,20110110/2245,2129.0
187,20110110/2315,2126.3
141,20110111/0015,2130.0
142,20110111/0045,2128.6
143,20110111/0115,2126.8
144,20110111/0145,2126.5
145,20110111/0215,2124.3
146,20110111/0245,2124.2
147,20110111/0315,2124.9
148,20110111/0345,2124.6
149,20110111/0415,2124.0
150,20110111/0445,2124.3
151,20110111/0515,2124.3
152,20110111/0545,2122.5
153,20110111/0615,2120.7
154,20110111/0645,2123.4
155,20110111/0715,2124.5
156,20110111/0745,2124.6
157,20110111/0815,2124.1
158,20110111/0845,2120.0
159,20110111/0915,2116.8
160,20110111/0945,2118.7
161,20110111/1015,2124.2
162,20110111/1045,2125.2
163,20110111/1115,2124.2
164,20110111/1145,2121.7
165,20110111/1215,2123.5
166,20110111/1245,2125.5
167,20110111/1315,2121.8
168,20110111/1345,2120.9
169,20110111/1415,2117.6
170,20110111/1445,2117.3
171,20110111/1515,2122.3
172,20110111/1545,2122.0
173,20110111/1615,2123.1
174,20110111/1645,2121.3
175,20110111/1715,2119.3
176,20110111/1745,2120.7
177,20110111/1815,2120.4
178,20110111/1845,2122.8
179,20110111/1915,2122.3
180,20110111/1945,2119.7
181,20110111/2015,2123.1
182,20110111/2045,2124.2
183,20110111/2115,2121.5
184,20110111/2145,2120.4
185,20110111/2215,2126.1
186,20110111/2245,2134.0
187,20110111/2315,2125.9
141,20110112/0015,2120.6
142,20110112/0045,2122.3
143,20110112/0115,2120.8
144,20110112/0145,2118.2
145,20110112/0215,2119.2
146,20110112/0245,2120.5
147,20110112/0315,2121.1
148,20110112/0345,2123.1
149,20110112/0415,2124.4
150,20110112/0445,2125.3
151,20110112/0515,2126.3
152,20110112/0545,2123.9
153,20110112/0615,2122.5
154,20110112/0645,2122.6
155,20110112/0715,2123.6
156,20110112/0745,2124.1
157,20110112/0815,2123.5
158,20110112/0845,2125.4
159,20110112/0915,2126.2
160,20110112/0945,2126.1
161,20110112/1015,2127.9
162,20110112/1045,2132.2
163,20110112/1115,2131.8
164,20110112/1145,2127.8
165,20110112/1215,2128.6
166,20110112/1245,2130.9
167,20110112/1315,2129.4
168,20110112/1345,2130.6
169,20110112/1415,2127.1
170,20110112/1445,2127.5
171,20110112/1515,2131.1
172,20110112/1545,2129.6
173,20110112/1615,2133.9
174,20110112/1645,2138.3
175,20110112/1715,2136.3
176,20110112/1745,2131.1
177,20110112/1815,2129.6
178,20110112/1845,2131.1
179,20110112/1915,2130.9
180,20110112/1945,2132.0
181,20110112/2015,2133.0
182,20110112/2045,2131.4
183,20110112/2115,2132.4
184,20110112/2145,2131.4
185,20110112/2215,2129.8
186,20110112/2245,2129.6
187,20110112/2315,2127.5
139,20110113/0015,2131.0
140,20110113/0045,2127.8
141,20110113/0115,2123.0
142,20110113/0145,2124.0
143,20110113/0215,2121.8
144,20110113/0245,2120.6
145,20110113/0315,2123.0
146,20110113/0345,2123.7
147,20110113/0415,2121.2
148,20110113/0445,2118.9
149,20110113/0515,2120.8
150,20110113/0545,2121.4
151,20110113/0615,2119.8
152,20110113/0645,2120.2
153,20110113/0715,2119.7
154,20110113/0745,2116.7
155,20110113/0815,2117.2
156,20110113/0845,2118.5
157,20110113/0915,2115.4
158,20110113/0945,2114.3
159,20110113/1015,2116.4
160,20110113/1045,2118.3
161,20110113/1115,2118.9
162,20110113/1145,2116.9
163,20110113/1215,2116.7
164,20110113/1245,2118.8
165,20110113/1315,2118.6
166,20110113/1345,2117.2
167,20110113/1415,2118.6
168,20110113/1445,2120.7
169,20110113/1515,2119.1
170,20110113/1545,2117.6
171,20110113/1615,2118.6
172,20110113/1645,2118.5
173,20110113/1715,2119.9
174,20110113/1745,2119.2
175,20110113/1815,2116.9
176,20110113/1845,2117.6
177,20110113/1915,2117.5
178,20110113/1945,2117.3
179,20110113/2015,2119.9
180,20110113/2045,2121.5
181,20110113/2115,2118.1
182,20110113/2145,2113.6
183,20110113/2215,2115.8
184,20110113/2245,2124.2
185,20110113/2315,2121.1
141,20110114/0015,2114.0
142,20110114/0045,2115.6
143,20110114/0115,2113.0
144,20110114/0145,2112.3
145,20110114/0215,2113.4
146,20110114/0245,2115.2
147,20110114/0315,2118.6
148,20110114/0345,2118.4
149,20110114/0415,2116.3
150,20110114/0445,2115.9
151,20110114/0515,2120.7
152,20110114/0545,2119.7
153,20110114/0615,2117.5
154,20110114/0645,2118.6
155,20110114/0715,2119.4
156,20110114/0745,2120.9
157,20110114/0815,2118.3
158,20110114/0845,2116.1
159,20110114/0915,2116.5
160,20110114/0945,2118.1
161,20110114/1015,2118.0
162,20110114/1045,2117.3
163,20110114/1115,2116.6
164,20110114/1145,2114.5
165,20110114/1215,2117.2
166,20110114/1245,2119.2
167,20110114/1315,2122.4
168,20110114/1345,2121.8
169,20110114/1415,2116.1
170,20110114/1445,2117.7
171,20110114/1515,2115.1
172,20110114/1545,2115.6
173,20110114/1615,2121.4
174,20110114/1645,2123.4
175,20110114/1715,2124.5
176,20110114/1745,2125.9
177,20110114/1815,2124.8
178,20110114/1845,2125.4
179,20110114/1915,2126.9
180,20110114/1945,2123.8
181,20110114/2015,2125.8
182,20110114/2045,2126.3
183,20110114/2115,2124.6
184,20110114/2145,2123.0
185,20110114/2215,2124.3
186,20110114/2245,2124.7
141,20110115/0015,2134.5
142,20110115/0045,2132.8
143,20110115/0115,2130.9
144,20110115/0145,2131.3
145,20110115/0215,2130.5
146,20110115/0245,2130.7
147,20110115/0315,2130.5
148,20110115/0345,2128.8
149,20110115/0415,2127.4
150,20110115/0445,2127.7
151,20110115/0515,2129.5
152,20110115/0545,2128.7
153,20110115/0615,2126.8
154,20110115/0645,2127.6
155,20110115/0715,2129.1
156,20110115/0745,2126.3
157,20110115/0815,2122.7
158,20110115/0845,2123.9
159,20110115/0915,2125.1
160,20110115/0945,2123.9
161,20110115/1015,2125.2
162,20110115/1045,2128.6
163,20110115/1115,2127.4
164,20110115/1145,2124.1
165,20110115/1215,2122.9
166,20110115/1245,2122.0
167,20110115/1315,2124.2
168,20110115/1345,2123.9
169,20110115/1415,2123.3
170,20110115/1445,2125.5
171,20110115/1515,2121.9
172,20110115/1545,2122.9
173,20110115/1615,2128.3
174,20110115/1645,2125.7
175,20110115/1715,2125.1
176,20110115/1745,2125.2
177,20110115/1815,2125.5
178,20110115/1845,2129.7
179,20110115/1915,2128.9
180,20110115/1945,2129.4
181,20110115/2015,2134.9
182,20110115/2045,2135.0
183,20110115/2115,2132.8
184,20110115/2145,2130.2
185,20110115/2215,2129.7
186,20110115/2245,2131.3
187,20110115/2315,2130.0
141,20110116/0015,2132.2
142,20110116/0045,2130.5
143,20110116/0115,2130.4
144,20110116/0145,2131.9
145,20110116/0215,2130.4
146,20110116/0245,2130.0
147,20110116/0315,2132.5
148,20110116/0345,2134.7
149,20110116/0415,2136.8
150,20110116/0445,2136.5
151,20110116/0515,2135.3
152,20110116/0545,2134.9
153,20110116/0615,2136.9
154,20110116/0645,2138.5
155,20110116/0715,2135.5
156,20110116/0745,2135.3
157,20110116/0815,2134.6
158,20110116/0845,2132.8
159,20110116/0915,2136.7
160,20110116/0945,2139.6
161,20110116/1015,2141.8
162,20110116/1045,2144.5
163,20110116/1115,2142.1
164,20110116/1145,2141.2
165,20110116/1215,2143.1
166,20110116/1245,2144.4
167,20110116/1315,2144.2
168,20110116/1345,2144.4
169,20110116/1415,2147.2
170,20110116/1445,2146.9
171,20110116/1515,2145.8
172,20110116/1545,2148.2
173,20110116/1615,2151.4
174,20110116/1645,2149.6
175,20110116/1715,2146.3
176,20110116/1745,2145.6
177,20110116/1815,2144.1
178,20110116/1845,2142.4
179,20110116/1915,2142.6
180,20110116/1945,2145.4
181,20110116/2015,2146.3
182,20110116/2045,2145.7
183,20110116/2115,2147.0
184,20110116/2145,2142.5
185,20110116/2215,2140.2
186,20110116/2245,2143.6
187,20110116/2315,2147.2
141,20110117/0015,2146.8
142,20110117/0045,2145.5
143,20110117/0115,2144.7
144,20110117/0145,2149.4
145,20110117/0215,2148.3
146,20110117/0245,2145.2
147,20110117/0315,2147.2
148,20110117/0345,2150.0
149,20110117/0415,2150.4
150,20110117/0445,2149.8
151,20110117/0515,2149.0
152,20110117/0545,2144.3
153,20110117/0615,2144.3
154,20110117/0645,2147.3
155,20110117/0715,2146.9
156,20110117/0745,2145.2
157,20110117/0815,2139.9
158,20110117/0845,2135.8
159,20110117/0915,2135.5
160,20110117/0945,2141.6
161,20110117/1015,2145.5
162,20110117/1045,2143.1
163,20110117/1115,2140.4
164,20110117/1145,2137.0
165,20110117/1215,2137.2
166,20110117/1245,2137.9
167,20110117/1315,2136.8
168,20110117/1345,2131.0
169,20110117/1415,2128.8
170,20110117/1445,2132.9
171,20110117/1515,2135.2
172,20110117/1545,2139.6
173,20110117/1615,2140.7
174,20110117/1645,2136.4
175,20110117/1715,2134.1
176,20110117/1745,2132.1
177,20110117/1815,2133.2
178,20110117/1845,2132.6
179,20110117/1915,2130.9
180,20110117/1945,2133.1
181,20110117/2015,2135.5
182,20110117/2045,2138.3
183,20110117/2115,2139.7
184,20110117/2145,2134.8
185,20110117/2215,2133.8
186,20110117/2245,2137.6
187,20110117/2315,2138.5
141,20110118/0015,2139.1
142,20110118/0045,2137.3
143,20110118/0115,2138.7
144,20110118/0145,2138.2
145,20110118/0215,2138.7
146,20110118/0245,2141.0
147,20110118/0315,2136.4
148,20110118/0345,2131.3
149,20110118/0415,2133.2
150,20110118/0445,2131.9
151,20110118/0515,2132.5
152,20110118/0545,2135.8
153,20110118/0615,2131.5
154,20110118/0645,2129.8
155,20110118/0715,2130.9
156,20110118/0745,2130.6
157,20110118/0815,2132.7
158,20110118/0845,2133.7
159,20110118/0915,2134.3
160,20110118/0945,2134.2
161,20110118/1015,2132.5
162,20110118/1045,2134.2
163,20110118/1115,2133.9
164,20110118/1145,2131.2
165,20110118/1215,2134.0
166,20110118/1245,2131.9
167,20110118/1315,2128.8
168,20110118/1345,2129.8
169,20110118/1415,2131.8
170,20110118/1445,2131.1
171,20110118/1515,2128.1
172,20110118/1545,2130.2
173,20110118/1615,2132.0
174,20110118/1645,2130.4
175,20110118/1715,2131.2
176,20110118/1745,2129.9
177,20110118/1815,2128.5
178,20110118/1845,2128.1
179,20110118/1915,2127.3
180,20110118/1945,2128.1
181,20110118/2015,2128.5
182,20110118/2045,2127.5
183,20110118/2115,2125.4
184,20110118/2145,2121.9
185,20110118/2215,2119.9
186,20110118/2245,2120.0
187,20110118/2315,2119.2
141,20110119/0015,2118.0
142,20110119/0045,2115.9
143,20110119/0115,2116.0
144,20110119/0145,2112.7
145,20110119/0215,2114.1
146,20110119/0245,2119.6
147,20110119/0315,2120.2
148,20110119/0345,2119.0
149,20110119/0415,2120.4
150,20110119/0445,2120.5
151,20110119/0515,2114.4
152,20110119/0545,2111.8
153,20110119/0615,2114.4
154,20110119/0645,2116.1
155,20110119/0715,2116.1
156,20110119/0745,2115.3
157,20110119/0815,2114.6
158,20110119/0845,2110.7
159,20110119/0915,2107.8
160,20110119/0945,2109.6
161,20110119/1015,2112.8
162,20110119/1045,2115.0
163,20110119/1115,2112.6
164,20110119/1145,2111.1
165,20110119/1215,2112.4
166,20110119/1245,2111.9
167,20110119/1315,2111.8
168,20110119/1345,2111.2
169,20110119/1415,2109.6
170,20110119/1445,2109.2
171,20110119/1515,2110.0
172,20110119/1545,2110.8
173,20110119/1615,2109.0
174,20110119/1645,2111.0
175,20110119/1715,2110.7
176,20110119/1745,2107.1
177,20110119/1815,2107.9
178,20110119/1845,2108.8
179,20110119/1915,2109.1
180,20110119/1945,2110.3
181,20110119/2015,2111.1
182,20110119/2045,2110.7
183,20110119/2115,2110.5
184,20110119/2145,2109.7
185,20110119/2215,2111.8
186,20110119/2245,2109.9
187,20110119/2315,2106.2
141,20110120/0015,2110.7
142,20110120/0045,2109.2
143,20110120/0115,2110.4
144,20110120/0145,2113.0
145,20110120/0215,2112.4
146,20110120/0245,2111.9
147,20110120/0315,2114.4
148,20110120/0345,2113.2
149,20110120/0415,2111.4
150,20110120/0445,2112.7
151,20110120/0515,2113.0
152,20110120/0545,2114.1
153,20110120/0615,2113.9
154,20110120/0645,2112.8
155,20110120/0715,2112.5
156,20110120/0745,2112.6
157,20110120/0815,2115.1
158,20110120/0845,2112.1
159,20110120/0915,2114.5
160,20110120/0945,2117.9
161,20110120/1015,2114.2
162,20110120/1045,2113.3
163,20110120/1115,2113.2
164,20110120/1145,2113.4
165,20110120/1215,2112.8
166,20110120/1245,2113.0
167,20110120/1315,2110.0
168,20110120/1345,2103.9
169,20110120/1415,2104.8
170,20110120/1445,2106.9
171,20110120/1515,2108.9
172,20110120/1545,2111.4
173,20110120/1615,2109.8
174,20110120/1645,2110.8
175,20110120/1715,2110.9
176,20110120/1745,2109.5
177,20110120/1815,2110.9
178,20110120/1845,2110.4
179,20110120/1915,2112.3
180,20110120/1945,2117.0
181,20110120/2015,2117.0
182,20110120/2045,2115.9
183,20110120/2115,2114.6
184,20110120/2145,2107.8
185,20110120/2215,2111.2
186,20110120/2245,2116.4
187,20110120/2315,2117.2
141,20110121/0015,2120.1
142,20110121/0045,2118.8
143,20110121/0115,2121.0
144,20110121/0145,2121.4
145,20110121/0215,2123.2
146,20110121/0245,2123.1
147,20110121/0315,2120.7
148,20110121/0345,2121.5
149,20110121/0415,2120.5
150,20110121/0445,2120.4
151,20110121/0515,2119.3
152,20110121/0545,2119.7
153,20110121/0615,2119.6
154,20110121/0645,2119.2
155,20110121/0715,2119.6
156,20110121/0745,2121.0
157,20110121/0815,2110.6
158,20110121/0845,2106.8
159,20110121/0915,2119.2
160,20110121/0945,2122.5
161,20110121/1015,2126.1
162,20110121/1045,2127.8
163,20110121/1115,2124.6
164,20110121/1145,2124.4
165,20110121/1215,2126.8
166,20110121/1245,2126.8
167,20110121/1315,2124.6
168,20110121/1345,2120.9
169,20110121/1415,2124.6
170,20110121/1445,2126.1
171,20110121/1515,2124.0
172,20110121/1545,2128.5
173,20110121/1615,2128.0
174,20110121/1645,2128.0
175,20110121/1715,2125.1
176,20110121/1745,2123.3
177,20110121/1815,2124.7
178,20110121/1845,2122.7
179,20110121/1915,2121.5
180,20110121/1945,2125.4
181,20110121/2015,2128.4
182,20110121/2045,2127.8
183,20110121/2115,2126.7
184,20110121/2145,2122.5
185,20110121/2215,2124.2
186,20110121/2245,2129.0
187,20110121/2315,2131.6
141,20110122/0015,2131.7
142,20110122/0045,2129.5
143,20110122/0115,2131.3
144,20110122/0145,2136.4
145,20110122/0215,2141.4
146,20110122/0245,2141.4
147,20110122/0315,2141.0
148,20110122/0345,2139.0
149,20110122/0415,2138.2
150,20110122/0445,2139.9
151,20110122/0515,2139.1
152,20110122/0545,2142.2
153,20110122/0615,2147.7
154,20110122/0645,2146.7
155,20110122/0715,2144.4
156,20110122/0745,2144.9
157,20110122/0815,2143.6
158,20110122/0845,2139.7
159,20110122/0915,2139.7
160,20110122/0945,2146.0
161,20110122/1015,2150.9
162,20110122/1045,2151.2
163,20110122/1115,2150.7
164,20110122/1145,2150.1
165,20110122/1215,2151.0
166,20110122/1245,2152.3
167,20110122/1315,2151.8
168,20110122/1345,2153.0
169,20110122/1415,2155.9
170,20110122/1445,2153.1
171,20110122/1515,2150.7
172,20110122/1545,2155.4
173,20110122/1615,2156.6
174,20110122/1645,2156.6
175,20110122/1715,2155.3
176,20110122/1745,2152.9
177,20110122/1815,2152.2
178,20110122/1845,2152.8
179,20110122/1915,2154.3
180,20110122/1945,2153.0
181,20110122/2015,2152.0
182,20110122/2045,2153.1
183,20110122/2115,2152.8
184,20110122/2145,2150.5
185,20110122/2315,2145.7
141,20110123/0015,2151.7
142,20110123/0045,2149.3
143,20110123/0115,2148.1
144,20110123/0145,2148.8
145,20110123/0215,2150.3
146,20110123/0245,2149.8
147,20110123/0315,2148.7
148,20110123/0345,2144.5
149,20110123/0415,2142.8
150,20110123/0445,2146.9
151,20110123/0515,2146.5
152,20110123/0545,2145.3
153,20110123/0615,2148.4
154,20110123/0645,2148.0
155,20110123/0715,2142.9
156,20110123/0745,2141.4
157,20110123/0815,2139.7
158,20110123/0845,2136.3
159,20110123/0915,2137.1
160,20110123/0945,2141.3
161,20110123/1015,2147.2
162,20110123/1045,2148.6
163,20110123/1115,2143.5
164,20110123/1145,2144.4
165,20110123/1215,2145.3
166,20110123/1245,2137.9
167,20110123/1315,2136.8
168,20110123/1345,2138.5
169,20110123/1415,2134.4
170,20110123/1445,2130.5
171,20110123/1515,2130.2
172,20110123/1545,2136.0
173,20110123/1615,2138.4
174,20110123/1645,2138.2
175,20110123/1715,2135.1
176,20110123/1745,2131.2
177,20110123/1815,2129.2
178,20110123/1845,2127.6
179,20110123/1915,2131.3
180,20110123/1945,2133.1
181,20110123/2015,2133.2
182,20110123/2045,2131.1
183,20110123/2115,2128.1
184,20110123/2145,2128.0
185,20110123/2215,2132.6
186,20110123/2245,2139.8
187,20110123/2315,2149.0
141,20110124/0015,2144.1
142,20110124/0045,2139.0
143,20110124/0115,2141.4
144,20110124/0145,2144.0
145,20110124/0215,2145.5
146,20110124/0245,2146.9
147,20110124/0315,2145.5
148,20110124/0345,2143.6
149,20110124/0415,2147.6
150,20110124/0445,2149.9
151,20110124/0515,2146.8
152,20110124/0545,2143.9
153,20110124/0615,2140.6
